"mpg","cylinders","displacement","horsepower","weight","acceleration","model_year"
18,8,307,17,3504,12,70
15,8,350,35,3693,11.5,70
18,8,318,29,3436,11,70
16,8,304,29,3433,12,70
NA,NA,302,24,NA,NA,70
15,8,429,42,4341,10,70
14,8,454,47,4354,9,70
14,8,440,46,4312,8.5,70
14,8,455,48,4425,10,70
15,8,390,40,3850,8.5,70
15,8,383,37,3563,10,70
14,8,340,34,3609,8,70
15,8,400,29,3761,9.5,70
14,8,455,48,3086,10,70
24,4,113,91,2372,15,70
22,6,198,91,2833,15.5,70
18,6,199,93,2774,15.5,70
21,6,200,81,2587,16,70
27,4,97,84,2130,14.5,70
26,4,97,50,1835,20.5,70
25,4,110,83,2672,17.5,70
24,4,107,86,2430,14.5,70
25,4,104,91,2375,17.5,70
26,4,121,10,2234,12.5,70
21,NA,199,86,2648,NA,NA
10,8,360,46,4615,14,70
10,8,307,43,4376,15,70
11,8,318,45,4382,13.5,70
9,8,304,41,4732,18.5,70
27,4,97,84,2130,14.5,71
28,4,140,86,2264,15.5,71
25,4,113,91,2228,14,71
25,4,98,1,2046,19,71
19,6,232,2,2634,13,71
16,6,225,5,3439,15.5,71
17,6,250,2,3329,15.5,71
19,6,250,84,3302,15.5,71
18,6,232,2,3288,15.5,71
14,8,350,35,4209,NA,71
14,8,400,38,4464,11.5,71
14,8,351,31,4154,13.5,71
14,8,318,29,4096,13,71
12,8,383,39,4955,11.5,71
13,8,400,37,4746,12,71
13,8,400,38,5140,12,71
18,6,258,8,2962,13.5,71
22,4,140,69,2408,19,71
19,NA,NA,2,NA,NA,NA
18,6,250,84,3139,14.5,71
23,4,122,82,2220,14,71
28,4,116,86,2123,14,71
30,4,79,67,2074,19.5,71
30,4,88,72,2065,14.5,71
31,4,71,62,1773,19,71
35,4,72,66,1613,18,71
27,4,97,57,1834,19,71
26,4,91,67,1955,20.5,71
24,4,113,91,2278,15.5,72
25,4,97.5,76,2126,17,72
23,4,97,55,2254,23.5,72
20,4,140,86,2408,19.5,72
21,4,122,82,2226,16.5,72
13,8,350,35,4274,12,72
14,8,400,38,4385,12,72
15,8,318,29,4135,13.5,72
14,8,351,31,4129,13,72
17,8,304,29,3672,11.5,72
NA,NA,429,NA,4633,NA,72
NA,NA,350,NA,NA,NA,72
12,8,350,34,4456,13.5,72
13,8,400,40,4422,12.5,72
19,3,70,93,2330,13.5,72
15,8,304,29,3892,12.5,72
13,8,307,17,4098,14,72
13,8,302,24,4294,16,72
14,8,318,29,4077,14,72
18,4,121,9,2933,14.5,72
22,4,121,72,2511,18,72
21,4,120,83,2979,19.5,72
26,4,96,NA,2189,18,NA
22,4,122,82,2395,16,72
28,4,97,88,2288,17,72
23,4,120,93,2506,14.5,72
28,4,98,76,2164,15,72
27,4,97,84,2100,16.5,72
13,8,350,38,4100,13,73
14,8,304,29,3672,11.5,73
13,8,350,26,3988,13,73
14,8,302,21,4042,14.5,73
15,8,318,29,3777,12.5,73
12,8,429,42,4952,11.5,73
13,8,400,29,4464,12,73
13,8,351,33,4363,13,73
14,8,318,29,4237,14.5,73
13,8,440,46,4735,11,73
12,8,455,48,4951,11,73
13,8,360,38,3821,11,73
18,6,225,5,3121,16.5,73
16,6,250,2,3278,18,73
NA,6,232,2,2945,NA,73
18,6,250,84,3021,16.5,73
23,6,198,91,2904,16,73
26,4,97,50,1950,21,73
11,8,400,29,4997,14,73
12,8,400,36,4906,12.5,73
13,8,360,NA,4654,NA,NA
12,8,350,39,4499,12.5,73
18,6,232,2,2789,15,73
20,4,97,84,2279,19,73
21,4,140,69,2401,19.5,73
22,4,108,90,2379,16.5,73
18,3,70,86,2124,13.5,73
19,4,122,81,2310,18.5,73
21,6,155,6,2472,14,73
26,4,98,86,2265,15.5,73
15,8,350,26,4082,13,73
16,8,400,49,4278,9.5,73
29,4,68,52,1867,19.5,73
24,4,116,71,2158,15.5,73
20,4,114,87,2582,14,73
19,4,121,9,2868,15.5,73
15,8,318,29,3399,11,73
24,4,121,8,2660,14,73
20,6,156,14,2807,13.5,73
11,8,350,39,3664,11,73
20,6,198,NA,3102,NA,NA
21,6,200,1,2875,17,74
19,6,232,2,2901,16,74
15,6,250,2,3336,17,74
31,4,79,64,1950,19,74
26,4,122,76,2451,16.5,74
32,4,71,62,1836,21,74
25,4,140,71,2542,17,74
16,6,250,2,3781,17,74
16,6,258,8,3632,18,74
18,6,225,5,3613,16.5,74
16,8,302,24,4141,14,74
13,8,350,29,4699,14.5,74
14,8,318,29,4457,13.5,74
14,8,302,24,4638,16,74
14,8,304,29,4257,15.5,74
NA,NA,NA,NA,NA,NA,74
26,4,79,64,1963,15.5,74
26,4,97,74,2300,14.5,74
31,4,76,NA,1649,16.5,74
32,4,83,58,2003,19,74
28,4,90,71,2125,14.5,74
NA,NA,90,NA,NA,15.5,74
26,4,116,71,2246,14,74
24,4,120,93,2489,15,74
26,4,108,89,2391,15.5,74
31,4,79,64,2000,16,74
19,6,225,91,3264,16,75
18,6,250,5,3459,16,75
15,6,250,69,3432,21,75
15,6,250,69,3158,19.5,75
16,8,400,37,4668,11.5,75
15,8,350,26,4440,14,75
16,8,318,29,4498,14.5,75
14,8,351,27,4657,13.5,75
17,6,231,8,3907,21,75
16,6,250,5,3897,18.5,75
15,6,258,8,3730,19,75
18,6,225,91,3785,19,75
21,6,231,8,3039,15,75
20,8,262,8,3221,13.5,75
13,8,302,16,3169,12,75
29,4,97,71,2171,16,75
23,4,140,79,2639,17,75
20,6,232,2,2914,16,75
23,4,140,74,2592,18.5,75
24,4,134,92,2702,13.5,75
25,4,90,68,2223,16.5,75
24,4,119,93,2545,17,75
18,6,171,93,2984,14.5,75
29,4,90,67,1937,14,75
19,6,232,86,3211,17,75
NA,NA,115,NA,2694,15,NA
23,4,120,84,2957,17,75
22,4,121,94,2945,14.5,75
NA,NA,NA,NA,NA,13.5,NA
33,4,91,54,1795,17.5,75
28,4,107,82,2464,15.5,76
25,4,116,77,2220,16.9,76
25,4,140,88,2572,14.9,76
26,4,98,75,2255,17.7,76
27,4,101,79,2202,15.3,76
17.5,8,305,24,4215,13,76
16,8,318,29,4190,13,76
15.5,8,304,13,3962,13.9,76
NA,8,NA,30,4215,12.8,76
22,6,225,2,3233,15.4,76
22,6,250,5,3353,14.5,76
24,6,200,77,3012,17.6,76
22.5,6,232,86,3085,17.6,76
29,4,85,53,2035,22.2,76
24.5,4,98,57,2164,22.1,76
29,4,90,67,1937,14.2,76
33,4,91,54,1795,17.4,76
20,6,225,2,3651,17.7,76
18,6,250,74,3574,21,76
18.5,6,250,8,3645,16.2,76
17.5,6,258,91,3193,17.8,76
29.5,4,97,68,1825,12.2,76
32,4,85,67,1990,17,76
28,4,97,71,2155,16.4,76
26.5,4,140,69,2565,13.6,76
20,4,130,3,3150,15.7,76
13,8,318,29,3940,13.2,76
19,4,120,84,3270,21.9,76
19,6,156,7,2930,15.5,76
16.5,6,168,13,3820,16.7,76
16.5,8,350,39,4380,12.1,76
13,8,350,26,4055,12,76
13,8,302,17,3870,15,76
13,8,318,29,3755,14,76
31.5,4,98,65,2045,18.5,77
30,4,111,76,2155,14.8,77
36,4,79,56,1825,18.6,77
25.5,4,122,92,2300,15.5,77
